sensor_id,valor,timestamp
19,16.93,2024-04-01 00:00:00-0306
20,20.7,2024-04-01 00:00:00-0306
23,28.86,2024-04-01 00:00:00-0306
34,17.79,2024-04-01 00:00:00-0306
71,21.83,2024-04-01 00:00:00-0306
77,27.86,2024-04-01 00:00:00-0306
78,13.31,2024-04-01 00:00:00-0306
79,16.39,2024-04-01 00:00:00-0306
80,13.81,2024-04-01 00:00:00-0306
81,15.08,2024-04-01 00:00:00-0306
104,24.23,2024-04-01 00:00:00-0306
105,39.64,2024-04-01 00:00:00-0306
19,48.28,2024-04-01 00:05:00-0306
20,22.61,2024-04-01 00:05:00-0306
23,5.12,2024-04-01 00:05:00-0306
34,49.87,2024-04-01 00:05:00-0306
71,11.46,2024-04-01 00:05:00-0306
77,18.75,2024-04-01 00:05:00-0306
78,48.11,2024-04-01 00:05:00-0306
79,15.24,2024-04-01 00:05:00-0306
80,0.39,2024-04-01 00:05:00-0306
81,12.55,2024-04-01 00:05:00-0306
104,31.15,2024-04-01 00:05:00-0306
105,0.22,2024-04-01 00:05:00-0306
19,46.13,2024-04-01 00:10:00-0306
20,38.7,2024-04-01 00:10:00-0306
23,5.89,2024-04-01 00:10:00-0306
34,22.16,2024-04-01 00:10:00-0306
71,6.26,2024-04-01 00:10:00-0306
77,39.06,2024-04-01 00:10:00-0306
78,19.9,2024-04-01 00:10:00-0306
79,2.89,2024-04-01 00:10:00-0306
80,16.47,2024-04-01 00:10:00-0306
81,46.17,2024-04-01 00:10:00-0306
104,24.22,2024-04-01 00:10:00-0306
105,23.19,2024-04-01 00:10:00-0306
19,4.46,2024-04-01 00:15:00-0306
20,31.21,2024-04-01 00:15:00-0306
23,49.33,2024-04-01 00:15:00-0306
34,21.58,2024-04-01 00:15:00-0306
71,47.41,2024-04-01 00:15:00-0306
77,33.59,2024-04-01 00:15:00-0306
78,37.46,2024-04-01 00:15:00-0306
79,1.68,2024-04-01 00:15:00-0306
80,6.51,2024-04-01 00:15:00-0306
81,43.41,2024-04-01 00:15:00-0306
104,44.01,2024-04-01 00:15:00-0306
105,45.87,2024-04-01 00:15:00-0306
19,35.09,2024-04-01 00:20:00-0306
20,27.85,2024-04-01 00:20:00-0306
23,49.03,2024-04-01 00:20:00-0306
34,8.83,2024-04-01 00:20:00-0306
71,7.61,2024-04-01 00:20:00-0306
77,47.76,2024-04-01 00:20:00-0306
78,19.66,2024-04-01 00:20:00-0306
79,37.21,2024-04-01 00:20:00-0306
80,44.7,2024-04-01 00:20:00-0306
81,44.56,2024-04-01 00:20:00-0306
104,14.46,2024-04-01 00:20:00-0306
105,14.2,2024-04-01 00:20:00-0306
19,33.88,2024-04-01 00:25:00-0306
20,11.45,2024-04-01 00:25:00-0306
23,22.38,2024-04-01 00:25:00-0306
34,8.78,2024-04-01 00:25:00-0306
71,20.54,2024-04-01 00:25:00-0306
